;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
307;"MLSMRFilter;ZINCBasicFilter";91.032;-18.5765;79.5934
249;"InpharmaticaFilter;ValenceDiscoveryFilter";91.032;-18.7189;79.4371
303;"MLSMRFilter;SureChEMBLFilter";91.032;-18.8375;79.3068
439;"SureChEMBLFilter;TiceHerbicidesFilter";91.032;-18.9087;79.2286
292;"MLSMRFilter;NIBRFilter";91.032;-18.9561;79.1764
148;"GhoseFilter;NIHFilter";91.032;-19.051;79.0722
33;"BMSFilter;GhoseFilter";91.032;-19.051;79.0722
214;"HaoFilter;NIBRFilter";91.032;-19.2883;78.8116
306;"MLSMRFilter;ValenceDiscoveryFilter";91.032;-19.2883;78.8116
359;"OpreaFilter;REOSFilter";91.032;-19.4543;78.6291
239;"InpharmaticaFilter;PfizerFilter";91.032;-19.6679;78.3946
151;"GhoseFilter;PfizerFilter";91.032;-19.739;78.3164
304;"MLSMRFilter;TiceHerbicidesFilter";91.032;-19.8814;78.16
82;"BrenkFilter;TiceHerbicidesFilter";91.032;-20.1898;77.8212
209;"HaoFilter;InpharmaticaFilter";91.032;-20.1898;77.8212
160;"GhoseFilter;ValenceDiscoveryFilter";91.032;-20.2135;77.7952
366;"OpreaFilter;TiceHerbicidesFilter";91.032;-20.7592;77.1957
219;"HaoFilter;REOSFilter";91.032;-20.8304;77.1175
225;"HaoFilter;SureChEMBLFilter";91.032;-21.0913;76.8309
448;"TiceInsecticidesFilter;ValenceDiscoveryFilter";91.032;-21.2337;76.6745
315;"MolecularWeightFilter;RuleOfFourFilter";91.032;-21.2574;76.6484
19;"BeyondRo5Filter;RuleOfFourFilter";91.032;-21.9217;75.9187
64;"BrenkFilter;HaoFilter";91.032;-22.0403;75.7884
398;"REOSFilter;TiceHerbicidesFilter";91.032;-22.1115;75.7102
61;"BrenkFilter;GhoseFilter";91.032;-22.2064;75.6059
368;"OpreaFilter;ValenceDiscoveryFilter";91.032;-22.3962;75.3974
404;"RuleOfFourFilter;RuleOfXuFilter";91.032;-22.9656;74.772
373;"PAINSFilter;RuleOfFourFilter";91.032;-22.9656;74.772
63;"BrenkFilter;GSKFilter";91.032;-22.9893;74.7459
228;"HaoFilter;ValenceDiscoveryFilter";91.032;-23.1317;74.5895
204;"GSKFilter;TiceHerbicidesFilter";91.032;-23.6299;74.0422
294;"MLSMRFilter;OpreaFilter";91.032;-23.796;73.8598
212;"HaoFilter;MLSMRFilter";91.032;-24.0807;73.547
226;"HaoFilter;TiceHerbicidesFilter";91.032;-24.1756;73.4428
403;"RuleOfFourFilter;RuleOfVeberFilter";91.032;-24.2705;73.3385
145;"GhoseFilter;MLSMRFilter";91.032;-24.6501;72.9216
186;"GlaxoFilter;ZINCDruglikeFilter";91.032;-24.6738;72.8955
438;"RuleOfXuFilter;ZINCDruglikeFilter";91.032;-25.0771;72.4524
445;"TiceHerbicidesFilter;ValenceDiscoveryFilter";91.032;-25.1483;72.3743
346;"NIHFilter;RuleOfFourFilter";91.032;-25.172;72.3482
48;"BMSFilter;RuleOfFourFilter";91.032;-25.172;72.3482
127;"FAF4LeadlikeFilter;PfizerFilter";91.032;-25.2432;72.27
392;"PfizerFilter;ZINCDruglikeFilter";91.032;-25.2669;72.2439
176;"GlaxoFilter;RuleOfFourFilter";91.032;-25.5991;71.8791
29;"BeyondRo5Filter;ZINCDruglikeFilter";91.032;-25.6228;71.853
241;"InpharmaticaFilter;RuleOfFourFilter";91.032;-25.6702;71.8009
325;"MolecularWeightFilter;ZINCDruglikeFilter";91.032;-25.694;71.7748
290;"LipinskiFilter;ZINCDruglikeFilter";91.032;-25.8363;71.6185
158;"GhoseFilter;TiceHerbicidesFilter";91.032;-26.0735;71.3578
453;"ZINCBasicFilter;ZINCDruglikeFilter";91.032;-26.1922;71.2275
432;"RuleOfVeberFilter;ZINCDruglikeFilter";91.032;-26.3108;71.0972
383;"PAINSFilter;ZINCDruglikeFilter";91.032;-26.3345;71.0711
74;"BrenkFilter;PfizerFilter";91.032;-26.5006;70.8887
191;"GSKFilter;MLSMRFilter";91.032;-26.6904;70.6802
107;"FAF4DruglikeFilter;RuleOfXuFilter";91.032;-27.331;69.9765
89;"FAF4DruglikeFilter;GlaxoFilter";91.032;-27.6631;69.6117
408;"RuleOfFourFilter;ZINCBasicFilter";91.032;-27.7343;69.5335
271;"LINTFilter;ZINCDruglikeFilter";91.032;-27.8529;69.4032
96;"FAF4DruglikeFilter;MolecularWeightFilter";91.032;-27.9478;69.2989
113;"FAF4DruglikeFilter;ZINCDruglikeFilter";91.032;-28.019;69.2207
452;"ValenceDiscoveryFilter;ZINCDruglikeFilter";91.032;-28.1613;69.0644
341;"NIBRFilter;ZINCDruglikeFilter";91.032;-28.2562;68.9601
407;"RuleOfFourFilter;ValenceDiscoveryFilter";91.032;-28.28;68.9341
86;"BrenkFilter;ZINCDruglikeFilter";91.032;-28.3274;68.8819
106;"FAF4DruglikeFilter;RuleOfVeberFilter";91.032;-28.3274;68.8819
94;"FAF4DruglikeFilter;LipinskiFilter";91.032;-28.3274;68.8819
100;"FAF4DruglikeFilter;PAINSFilter";91.032;-28.3986;68.8038
112;"FAF4DruglikeFilter;ZINCBasicFilter";91.032;-28.4223;68.7777
59;"BrenkFilter;FAF4DruglikeFilter";91.032;-28.5647;68.6213
111;"FAF4DruglikeFilter;ValenceDiscoveryFilter";91.032;-28.8019;68.3607
2;"BeyondRo5Filter;FAF4DruglikeFilter";91.032;-28.9917;68.1522
99;"FAF4DruglikeFilter;OpreaFilter";91.032;-28.9917;68.1522
393;"REOSFilter;RuleOfFourFilter";91.032;-29.0866;68.048
50;"BMSFilter;RuleOfTwoFilter";91.032;-29.3713;67.7352
348;"NIHFilter;RuleOfTwoFilter";91.032;-29.3713;67.7352
263;"LINTFilter;RuleOfTwoFilter";91.032;-29.4662;67.631
49;"BMSFilter;RuleOfThreeFilter";91.032;-29.7034;67.3703
347;"NIHFilter;RuleOfThreeFilter";91.032;-29.7034;67.3703
58;"BMSFilter;ZINCDruglikeFilter";91.032;-29.8221;67.24
356;"NIHFilter;ZINCDruglikeFilter";91.032;-29.8221;67.24
296;"MLSMRFilter;PfizerFilter";91.032;-29.8695;67.1879
262;"LINTFilter;RuleOfThreeFilter";91.032;-30.1542;66.8752
443;"SureChEMBLFilter;ZINCDruglikeFilter";91.032;-30.1542;66.8752
402;"REOSFilter;ZINCDruglikeFilter";91.032;-30.1542;66.8752
388;"PfizerFilter;TiceHerbicidesFilter";91.032;-30.2966;66.7188
422;"RuleOfTwoFilter;TiceHerbicidesFilter";91.032;-30.5338;66.4582
154;"GhoseFilter;RuleOfTwoFilter";91.032;-30.5338;66.4582
93;"FAF4DruglikeFilter;LINTFilter";91.032;-30.7711;66.1976
31;"BMSFilter;FAF4DruglikeFilter";91.032;-30.9134;66.0412
98;"FAF4DruglikeFilter;NIHFilter";91.032;-30.9134;66.0412
97;"FAF4DruglikeFilter;NIBRFilter";91.032;-30.9609;65.9891
101;"FAF4DruglikeFilter;PfizerFilter";91.032;-30.9846;65.963
77;"BrenkFilter;RuleOfThreeFilter";91.032;-31.0083;65.9369
108;"FAF4DruglikeFilter;SureChEMBLFilter";91.032;-31.1032;65.8327
90;"FAF4DruglikeFilter;GSKFilter";91.032;-31.1507;65.7806
405;"RuleOfFourFilter;SureChEMBLFilter";91.032;-31.1744;65.7545
409;"RuleOfFourFilter;ZINCDruglikeFilter";91.032;-31.2693;65.6502
413;"RuleOfThreeFilter;SureChEMBLFilter";91.032;-31.3167;65.5981
280;"LipinskiFilter;RuleOfFourFilter";91.032;-31.4116;65.4939
362;"OpreaFilter;RuleOfTwoFilter";91.032;-31.4116;65.4939
421;"RuleOfTwoFilter;SureChEMBLFilter";91.032;-31.72;65.1551
360;"OpreaFilter;RuleOfFourFilter";91.032;-31.9336;64.9205
406;"RuleOfFourFilter;TiceInsecticidesFilter";91.032;-31.9336;64.9205
220;"HaoFilter;RuleOfFourFilter";91.032;-31.9573;64.8944
251;"InpharmaticaFilter;ZINCDruglikeFilter";91.032;-32.0047;64.8423
261;"LINTFilter;RuleOfFourFilter";91.032;-32.0285;64.8163
370;"OpreaFilter;ZINCDruglikeFilter";91.032;-32.0522;64.7902
102;"FAF4DruglikeFilter;REOSFilter";91.032;-32.2657;64.5556
103;"FAF4DruglikeFilter;RuleOfFourFilter";91.032;-32.3132;64.5035
308;"MLSMRFilter;ZINCDruglikeFilter";91.032;-32.4792;64.3211
420;"RuleOfTwoFilter;RuleOfXuFilter";91.032;-32.7639;64.0083
