;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
718;"LINTFilter;RuleOfVeberFilter";94.5433;-2.159;97.7164
523;"BrenkFilter;MolecularWeightFilter";94.5433;-2.1708;97.7039
698;"InpharmaticaFilter;RuleOfVeberFilter";94.5433;-2.2301;97.6412
527;"BrenkFilter;PAINSFilter";94.5433;-2.242;97.6286
709;"LINTFilter;NIBRFilter";94.5433;-2.2776;97.591
505;"BMSFilter;RuleOfVeberFilter";94.5433;-2.3132;97.5533
496;"BMSFilter;NIBRFilter";94.5433;-2.325;97.5408
729;"LipinskiFilter;NIHFilter";94.5433;-2.3962;97.4655
714;"LINTFilter;REOSFilter";94.5433;-2.6572;97.1895
731;"LipinskiFilter;PAINSFilter";94.5433;-2.6572;97.1895
501;"BMSFilter;REOSFilter";94.5433;-2.7402;97.1016
724;"LINTFilter;ZINCBasicFilter";94.5433;-2.7758;97.064
756;"MLSMRFilter;RuleOfXuFilter";94.5433;-2.8114;97.0263
534;"BrenkFilter;RuleOfXuFilter";94.5433;-2.9656;96.8632
533;"BrenkFilter;RuleOfVeberFilter";94.5433;-3.2503;96.5621
511;"BMSFilter;ZINCBasicFilter";94.5433;-3.3215;96.4868
739;"LipinskiFilter;SureChEMBLFilter";94.5433;-3.452;96.3488
455;"BeyondRo5Filter;BrenkFilter";94.5433;-3.4875;96.3112
539;"BrenkFilter;ZINCBasicFilter";94.5433;-3.5113;96.2861
525;"BrenkFilter;NIHFilter";94.5433;-3.535;96.261
484;"BMSFilter;BrenkFilter";94.5433;-3.7248;96.0602
707;"LINTFilter;MLSMRFilter";94.5433;-4.0451;95.7215
768;"MolecularWeightFilter;REOSFilter";94.5433;-4.1756;95.5834
516;"BrenkFilter;GlaxoFilter";94.5433;-4.1874;95.5709
521;"BrenkFilter;LipinskiFilter";94.5433;-4.2942;95.458
507;"BMSFilter;SureChEMBLFilter";94.5433;-4.3298;95.4203
711;"LINTFilter;OpreaFilter";94.5433;-4.5789;95.1568
519;"BrenkFilter;InpharmaticaFilter";94.5433;-4.7924;94.931
472;"BeyondRo5Filter;REOSFilter";94.5433;-4.8043;94.9184
757;"MLSMRFilter;SureChEMBLFilter";94.5433;-4.828;94.8934
745;"MLSMRFilter;MolecularWeightFilter";94.5433;-4.8754;94.8432
755;"MLSMRFilter;RuleOfVeberFilter";94.5433;-4.9348;94.7804
520;"BrenkFilter;LINTFilter";94.5433;-5.0415;94.6675
733;"LipinskiFilter;REOSFilter";94.5433;-5.1364;94.5671
